procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999480 185164  45280 883440    0    0     0     6 2080 5525  3  3 93  0  0 2023-12-07 21:27:23
 0  0 7999480 183496  45284 883376    0    0     0     4 2097 5532  3  3 94  0  0 2023-12-07 21:27:28
 0  0 7999480 184824  45316 883304    0    0     0    76 2088 5532  3  4 92  1  0 2023-12-07 21:27:33
 1  0 7999480 184660  45332 883492    0    0    22    74 2047 5448  3  3 91  2  0 2023-12-07 21:27:38
 0  0 7999480 184692  45340 883496    0    0     0    35 2098 5536  3  3 93  0  0 2023-12-07 21:27:43
 1  0 7999480 185136  45348 883496    0    0     0    27 2082 5534  3  3 93  0  0 2023-12-07 21:27:48
 0  0 7999480 183880  45356 883564    0    0    14     3 2064 5463  3  3 93  0  0 2023-12-07 21:27:53
 0  0 7999480 185044  45360 883540    0    0     1     7 2106 5599  3  3 93  1  0 2023-12-07 21:27:58
 0  0 7999480 185200  45384 883640    0    0     0    40 2082 5572  3  3 93  1  0 2023-12-07 21:28:03
 0  0 7999480 184820  45392 883540    0    0     0    57 2059 5455  3  3 93  0  0 2023-12-07 21:28:08
 0  0 7999480 184456  45400 883604    0    0     0    10 2122 5639  3  3 93  0  0 2023-12-07 21:28:13
 0  0 7999480 184424  45404 883604    0    0     0     6 2110 5645  3  3 93  0  0 2023-12-07 21:28:18
 1  0 7999480 184052  45412 883644    0    0     7    66 2113 5591  3  3 93  0  0 2023-12-07 21:28:23
 0  0 7999480 184548  45416 883580    0    0     0    26 2065 5481  3  3 93  0  0 2023-12-07 21:28:28
 0  0 7999480 184012  45440 883616    0    0     0    26 2051 5454  3  4 93  1  0 2023-12-07 21:28:33
 1  0 7999480 184236  45448 883640    0    0     0    11 2042 5462  3  3 93  0  0 2023-12-07 21:28:38
 0  0 7999480 182524  45456 883640    0    0     0    10 2104 5560  3  3 94  0  0 2023-12-07 21:28:43
 0  0 7999480 183880  45464 883676    0    0    14     7 2030 5414  3  3 93  0  0 2023-12-07 21:28:48
 0  0 7999480 183832  45472 883644    0    0     0     7 2036 5389  3  3 94  0  0 2023-12-07 21:28:53
 1  0 7999480 185568  45476 883652    0    0     0    76 2096 5488  3  3 93  0  0 2023-12-07 21:28:58
 0  0 7999480 185444  45508 883704    0    0     0    39 2083 5516  3  3 93  1  0 2023-12-07 21:29:03
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7999480 185560  45516 883660    0    0     0    11 2051 5431  3  3 93  0  0 2023-12-07 21:29:08
 0  0 7999480 184796  45524 884064    0    0    12     6 2150 5742  4  3 93  1  0 2023-12-07 21:29:13
 0  0 7999480 185316  45532 883856    0    0    20     9 2372 6335  3  3 93  0  0 2023-12-07 21:29:18
 0  0 7999480 188076  45540 883824    0    0     0    14 2236 5964  3  4 92  0  0 2023-12-07 21:29:23
 1  0 7999480 188292  45544 883824    0    0     0    13 2119 5637  3  4 93  0  0 2023-12-07 21:29:28
 0  0 7999480 188292  45568 883844    0    0     0    28 2053 5464  3  3 93  1  0 2023-12-07 21:29:33
 0  0 7999480 188036  45576 883824    0    0     0    76 2064 5434  3  4 93  0  0 2023-12-07 21:29:38
 1  0 7999480 186340  45584 884168    0    0     0    68 2166 5570  3  3 93  0  0 2023-12-07 21:29:43
 3  0 7999480 186432  45592 883824    0    0     0     8 2113 5547  3  3 93  0  0 2023-12-07 21:29:48
 0  0 7999480 186028  45600 883976    0    0    24     4 2130 5574  3  3 93  0  0 2023-12-07 21:29:53
 0  0 7999480 186032  45604 883948    0    0     0     3 2026 5410  3  3 93  0  0 2023-12-07 21:29:58
 0  0 7999480 191056  45632 878996    0    0    13    33 2056 5445  3  4 93  1  0 2023-12-07 21:30:03
 0  0 7999480 185872  45636 884244    0    0    38    13 2092 5512  3  3 93  1  0 2023-12-07 21:30:08
 0  0 7999480 185724  45644 884244    0    0     0    81 2220 5794  4  3 93  0  0 2023-12-07 21:30:13
 0  0 7999480 185568  45652 884244    0    0     0     9 2166 5765  3  3 93  0  0 2023-12-07 21:30:18
 0  0 7999480 185320  45660 884208    0    0     0    11 2117 5659  3  3 93  1  0 2023-12-07 21:30:23
 0  0 7999480 185168  45668 884320    0    0    15     5 2111 5564  3  2 94  0  0 2023-12-07 21:30:28
 0  0 7999480 183416  45692 884284    0    0     0    73 2121 5549  3  4 93  1  0 2023-12-07 21:30:33
 0  0 7999480 184696  45696 884320    0    0     0    17 2041 5423  3  3 94  0  0 2023-12-07 21:30:38
 0  0 7999480 184672  45704 884324    0    0     0    58 2108 5620  3  4 93  0  0 2023-12-07 21:30:43
 0  0 7999480 184208  45712 884324    0    0     0    28 2095 5586  3  3 93  1  0 2023-12-07 21:30:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 2  0 7999480 183804  45716 884280    0    0     0     3 2066 5458  3  3 93  0  0 2023-12-07 21:30:53
 2  0 7999480 183712  45720 884288    0    0     0     3 2041 5463  3  3 93  0  0 2023-12-07 21:30:58
 0  0 7999480 181812  45736 884352    0    0     0    29 2095 5530  3  4 92  1  0 2023-12-07 21:31:03
 1  0 7999480 181432  45740 884352    0    0     0    12 2081 5503  3  3 93  0  0 2023-12-07 21:31:08
 0  0 7999480 180368  45740 884484    0    0     0    10 2147 5703  4  3 93  0  0 2023-12-07 21:31:13
 2  1 7999464 181660  45780 884524    3    0     3   128 2526 6233  5  3 89  3  0 2023-12-07 21:31:18
 0  0 7999464 181104  45788 884532    0    0     0    34 2115 5554  3  3 93  1  0 2023-12-07 21:31:23
 0  0 7999464 181724  45796 884428    0    0     0     5 2130 5609  3  4 93  0  0 2023-12-07 21:31:28
 0  0 7999464 181664  45820 884528    0    0     0    74 2073 5476  3  3 93  1  0 2023-12-07 21:31:33
 0  0 7999464 181500  45828 884568    0    0     0    14 2026 5378  3  3 94  0  0 2023-12-07 21:31:38
 0  0 7999464 184608  45832 884568    0    0     0     9 2117 5612  3  3 93  0  0 2023-12-07 21:31:43
 0  0 7999464 182824  45832 884468    0    0     0    10 2112 5620  3  4 93  1  0 2023-12-07 21:31:48
 1  0 7999464 183740  45832 884504    0    0     0    18 2054 5424  3  3 93  0  0 2023-12-07 21:31:53
 0  0 7999464 182468  45840 884472    0    0     0    29 2201 5690  3  3 93  0  0 2023-12-07 21:31:58
 0  0 7999464 182188  45868 884576    0    0     0    28 2142 5707  3  3 93  1  0 2023-12-07 21:32:03
 0  0 7999464 182552  45876 884476    0    0     0    13 2067 5548  3  3 93  0  0 2023-12-07 21:32:08
 0  0 7999464 183240  45884 884532    0    0    11    63 2170 5733  3  3 93  0  0 2023-12-07 21:32:13
 0  0 7999464 183336  45896 884532    0    0     0    10 2137 5696  3  3 94  1  0 2023-12-07 21:32:18
 0  0 7999464 182080  45900 884532    0    0     0     9 2149 5689  3  3 93  0  0 2023-12-07 21:32:23
 0  0 7999464 182732  45908 884568    0    0     0     7 2096 5585  3  3 93  0  0 2023-12-07 21:32:28
 0  0 7999464 181600  45932 884616    0    0     0    44 2078 5450  3  3 93  1  0 2023-12-07 21:32:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999464 181508  45948 884532    0    0     0   116 2146 5620  3  3 92  2  0 2023-12-07 21:32:38
 0  0 7999464 181508  45952 884532    0    0     0     6 2070 5508  3  3 93  0  0 2023-12-07 21:32:43
 1  0 7999464 180852  45956 884596    0    0     0    35 2097 5564  3  4 93  0  0 2023-12-07 21:32:48
 1  0 7999464 180300  45964 884628    0    0     0     6 2060 5463  3  3 93  0  0 2023-12-07 21:32:53
 0  0 7999464 180208  45968 884604    0    0     0     5 2144 5643  3  4 93  0  0 2023-12-07 21:32:58
 0  0 7999464 185664  45988 879484    0    0     0    40 2083 5548  3  3 93  1  0 2023-12-07 21:33:03
 0  0 7999464 180528  45996 884568    0    0     0    22 2068 5472  3  4 93  0  0 2023-12-07 21:33:08
 0  0 7999464 180488  46004 884568    0    0     0    54 2135 5676  4  3 93  0  0 2023-12-07 21:33:13
 0  0 7999464 180676  46012 884648    0    0    13     6 2141 5691  3  3 93  0  0 2023-12-07 21:33:18
 0  0 7999464 180456  46020 884648    0    0     0    66 2404 6458  3  3 93  0  0 2023-12-07 21:33:23
 0  0 7999464 180580  46024 884572    0    0     0     3 2242 6004  3  3 93  0  0 2023-12-07 21:33:28
 0  0 7999464 180300  46044 884696    0    0    17    30 2259 6123  3  3 93  1  0 2023-12-07 21:33:33
 0  0 7999464 180136  46048 884768    0    0     7    18 2064 5542  3  3 93  1  0 2023-12-07 21:33:38
 0  0 7999464 180112  46056 884768    0    0     0    79 2102 5509  3  3 93  1  0 2023-12-07 21:33:43
 0  0 7999464 180484  46064 884768    0    0     0    11 2088 5560  3  3 93  0  0 2023-12-07 21:33:48
 0  0 7999464 179164  46072 884828    0    0     0     3 2070 5451  3  4 93  0  0 2023-12-07 21:33:53
 0  0 7999464 180608  46076 884732    0    0     0     6 2084 5510  3  3 93  0  0 2023-12-07 21:33:58
 1  0 7999464 180948  46104 884964    0    0     0    30 2067 5521  3  3 93  1  0 2023-12-07 21:34:03
 0  0 7999464 180268  46108 884824    0    0     0    10 2140 5599  3  3 93  0  0 2023-12-07 21:34:08
 0  0 7999464 180268  46116 884824    0    0     0    23 2116 5597  3  3 93  0  0 2023-12-07 21:34:13
 0  0 7999464 180236  46120 884824    0    0     0    70 2133 5618  3  3 93  0  0 2023-12-07 21:34:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999464 180204  46128 884824    0    0     0     7 2081 5523  3  3 94  0  0 2023-12-07 21:34:23
 0  0 7999464 179824  46132 884924    0    0     0     6 2127 5612  3  3 93  0  0 2023-12-07 21:34:28
 0  0 7999464 179732  46164 884964    0    0     0    72 2090 5526  3  3 93  1  0 2023-12-07 21:34:33
 0  0 7999464 178164  46168 884904    0    0     1    11 2085 5503  3  4 93  1  0 2023-12-07 21:34:38
 1  0 7999464 179924  46172 884912    0    0     0     7 2068 5509  3  3 94  0  0 2023-12-07 21:34:43
 0  0 7999464 177508  46180 884988    0    0    22    21 2121 5616  3  4 92  1  0 2023-12-07 21:34:48
 1  0 7999464 179116  46184 885020    0    0     0    85 2074 5425  3  3 93  0  0 2023-12-07 21:34:53
 0  0 7999464 179148  46188 884988    0    0     0    13 2116 5655  3  4 93  0  0 2023-12-07 21:34:58
 0  0 7999464 179056  46212 885096    0    0     0    31 2075 5509  3  3 93  1  0 2023-12-07 21:35:03
 0  0 7999464 178932  46216 885060    0    0     0     9 2078 5500  3  3 93  0  0 2023-12-07 21:35:08
 0  0 7999464 178776  46224 885176    0    0    23     7 2219 5850  4  3 92  1  0 2023-12-07 21:35:13
 0  0 7999464 178964  46232 885148    0    0     0     6 2156 5747  3  3 93  0  0 2023-12-07 21:35:18
 0  0 7999464 178996  46236 885112    0    0     0     4 2066 5450  3  3 93  0  0 2023-12-07 21:35:23
 1  0 7999464 179212  46244 885148    0    0     0     4 2107 5593  3  4 93  0  0 2023-12-07 21:35:28
 1  0 7999464 180112  46264 885112    0    0     0    50 2077 5478  3  3 94  1  0 2023-12-07 21:35:33
 1  0 7999464 180144  46268 885072    0    0     0    63 2080 5503  3  3 94  0  0 2023-12-07 21:35:38
 0  0 7999464 180052  46276 885072    0    0     0    39 2126 5646  3  3 94  0  0 2023-12-07 21:35:43
 0  0 7999464 178928  46280 885072    0    0     0     8 2108 5572  3  3 94  0  0 2023-12-07 21:35:48
 0  0 7999464 180112  46288 885100    0    0     0     7 2103 5577  3  3 93  0  0 2023-12-07 21:35:53
 0  0 7999464 179956  46292 885148    0    0     0     3 2112 5637  3  3 93  0  0 2023-12-07 21:35:58
 1  0 7999464 184916  46316 880096    0    0     0    32 2073 5494  3  3 93  1  0 2023-12-07 21:36:03
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 2  0 7999464 179676  46324 885080    0    0     0    22 2088 5516  3  3 93  0  0 2023-12-07 21:36:08
 0  0 7999464 179740  46332 885080    0    0     0   116 2204 5804  3  3 94  0  0 2023-12-07 21:36:13
 0  0 7999460 178128  46388 885180    1    0     4    60 2733 6368  6  3 88  2  0 2023-12-07 21:36:18
 1  0 7999460 177972  46392 885140    0    0     0     5 2067 5490  3  3 93  0  0 2023-12-07 21:36:23
 0  0 7999460 176592  46400 885216    0    0     0     3 2163 5702  3  3 93  0  0 2023-12-07 21:36:28
 0  0 7999460 177756  46412 885248    0    0     0    27 2069 5534  3  3 93  1  0 2023-12-07 21:36:33
 0  0 7999460 176716  46416 885184    0    0     0    10 2082 5515  3  3 94  0  0 2023-12-07 21:36:38
 0  0 7999460 176716  46420 885184    0    0     0     7 2090 5530  3  4 93  0  0 2023-12-07 21:36:43
 0  0 7999460 176684  46424 885224    0    0     0   104 2124 5614  3  4 93  0  0 2023-12-07 21:36:48
 0  0 7999460 176280  46428 885260    0    0     8    13 2054 5413  3  3 93  1  0 2023-12-07 21:36:53
 0  0 7999460 177284  46436 885228    0    0     0    63 2136 5631  3  4 93  0  0 2023-12-07 21:36:58
 0  0 7999460 176624  46464 885316    0    0     0    70 2140 5655  3  3 93  1  0 2023-12-07 21:37:03
 0  0 7999460 176492  46472 885232    0    0     0    11 2093 5540  3  3 93  0  0 2023-12-07 21:37:08
 1  0 7999460 176500  46480 885232    0    0     0   105 2157 5675  3  3 93  0  0 2023-12-07 21:37:13
 0  0 7999460 175816  46484 885276    0    0    16     7 2190 5812  4  3 93  1  0 2023-12-07 21:37:18
 0  0 7999460 177104  46488 885396    0    0    15     7 2101 5542  2  3 94  1  0 2023-12-07 21:37:23
 0  0 7999460 176248  46496 885432    0    0     0     6 2124 5651  3  3 93  0  0 2023-12-07 21:37:28
 0  0 7999460 177272  46524 885432    0    0     0   108 2131 5591  3  3 94  1  0 2023-12-07 21:37:33
 0  0 7999460 177280  46532 885436    0    0     1    38 2137 5517  3  4 93  1  0 2023-12-07 21:37:38
 0  0 7999460 177164  46540 885452    0    0     3     6 2126 5568  3  3 94  1  0 2023-12-07 21:37:43
 0  0 7999460 177048  46548 885476    0    0     0    62 2122 5619  3  3 93  0  0 2023-12-07 21:37:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7999460 177132  46556 885472    0    0     0     7 2117 5566  3  3 94  0  0 2023-12-07 21:37:53
 1  0 7999460 176728  46564 885456    0    0     0    28 2126 5611  3  4 93  0  0 2023-12-07 21:37:58
 0  0 7999460 177812  46592 885472    0    0     0    34 2084 5563  3  3 93  1  0 2023-12-07 21:38:03
 0  0 7999460 177804  46596 885428    0    0     0    10 2110 5593  3  3 94  0  0 2023-12-07 21:38:08
 0  0 7999460 177500  46596 885632    0    0    15     8 2196 5767  3  3 93  0  0 2023-12-07 21:38:13
 0  0 7999460 178432  46600 885668    0    0     0     6 2193 5726  3  4 93  0  0 2023-12-07 21:38:18
 2  0 7999460 181740  46608 885696    0    0     0     4 2077 5484  3  3 93  0  0 2023-12-07 21:38:23
 0  0 7999460 181484  46612 885692    0    0     0     3 2085 5524  3  3 93  0  0 2023-12-07 21:38:28
 0  0 7999460 181120  46644 885732    0    0     0    85 2095 5507  3  3 93  1  0 2023-12-07 21:38:33
 0  0 7999460 181080  46652 885668    0    0     0    18 2062 5447  3  3 93  0  0 2023-12-07 21:38:38
 0  0 7999460 180096  46660 885668    0    0     0    69 2225 5730  4  3 93  0  0 2023-12-07 21:38:43
 0  0 7999460 179908  46668 885596    0    0     0     6 2254 6064  4  3 93  0  0 2023-12-07 21:38:48
 0  0 7999460 179568  46676 885704    0    0     0     4 2106 5556  3  4 93  0  0 2023-12-07 21:38:53
 2  0 7999460 179076  46684 885636    0    0     0     3 2084 5534  3  3 93  0  0 2023-12-07 21:38:58
 0  0 7999460 183656  46712 880612    0    0     0    79 2095 5532  3  4 93  1  0 2023-12-07 21:39:03
 0  0 7999460 178424  46716 885660    0    0     0    12 2070 5526  3  4 93  0  0 2023-12-07 21:39:08
 0  0 7999460 178456  46720 885660    0    0     0     6 2117 5590  3  3 93  0  0 2023-12-07 21:39:13
 0  0 7999460 178084  46728 885808    0    0    14     6 2166 5768  3  3 93  0  0 2023-12-07 21:39:18
 0  0 7999460 177836  46732 885716    0    0     0     6 2123 5606  3  4 93  0  0 2023-12-07 21:39:23
 0  0 7999460 178044  46740 885752    0    0     0     3 2101 5566  3  3 94  0  0 2023-12-07 21:39:28
 0  0 7999460 177556  46756 885776    0    0     0    27 2078 5473  3  3 93  1  0 2023-12-07 21:39:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999460 177168  46764 885884    0    0    22    74 2075 5516  3  4 93  1  0 2023-12-07 21:39:38
 0  0 7999460 176472  46768 885912    0    0     5    84 2136 5609  3  3 93  0  0 2023-12-07 21:39:43
 0  0 7999460 175688  46776 885908    0    0     0     6 2103 5567  3  4 93  0  0 2023-12-07 21:39:48
 1  0 7999460 178672  46780 885944    0    0     0     6 2059 5434  4  3 93  0  0 2023-12-07 21:39:53
 0  0 7999460 178788  46784 885848    0    0     0     4 2120 5597  3  4 93  0  0 2023-12-07 21:39:58
 0  0 7999460 183852  46816 880796    0    0     0    30 2063 5481  3  3 93  1  0 2023-12-07 21:40:03
 0  0 7999460 178924  46820 885900    0    0    12    10 2093 5605  3  4 93  1  0 2023-12-07 21:40:08
 0  0 7999460 177344  46820 885964    0    0    12    31 2308 5980  4  3 92  0  0 2023-12-07 21:40:13
 0  1 7999460 176972  46824 886100    0    0    13    52 2213 5820  3  3 93  1  0 2023-12-07 21:40:18
 0  1 7999460 178120  46828 886128    0    0     0     4 2141 5705  4  3 92  1  0 2023-12-07 21:40:23
 0  1 7999460 177500  46828 886128    0    0     0     5 2144 5660  4  3 93  0  0 2023-12-07 21:40:28
 0  1 7999460 177616  46832 886164    0    0     0     4 2083 5502  3  3 94  0  0 2023-12-07 21:40:33
 0  0 7999460 177584  46852 886104    0    0     0    69 2067 5443  3  3 93  1  0 2023-12-07 21:40:38
 1  0 7999460 177468  46856 886104    0    0     0    18 2091 5533  2  3 94  0  0 2023-12-07 21:40:43
 0  0 7999460 177180  46864 886128    0    0     0    23 2153 5657  3  3 93  0  0 2023-12-07 21:40:48
 1  0 7999460 177808  46872 886160    0    0     0     6 2075 5450  3  4 93  0  0 2023-12-07 21:40:53
 0  0 7999460 177840  46880 886132    0    0     0     4 2123 5585  3  3 93  0  0 2023-12-07 21:40:58
 1  0 7999460 179948  46888 886116    0    0     0     6 2120 5596  4  3 93  0  0 2023-12-07 21:41:03
 1  0 7999460 179776  46904 886108    0    0     0    30 2047 5447  3  4 93  1  0 2023-12-07 21:41:08
 0  0 7999460 179764  46912 886108    0    0     0    69 2150 5731  3  3 94  0  0 2023-12-07 21:41:13
 2  0 7999460 177996  46972 886132    0    0     3    64 2386 6320  4  3 91  2  0 2023-12-07 21:41:18
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999460 177840  46980 886200    0    0     0    33 2067 5457  3  3 94  0  0 2023-12-07 21:41:23
 0  0 7999460 177468  46984 886236    0    0     0     5 2094 5608  3  3 94  0  0 2023-12-07 21:41:28
 0  0 7999460 177624  46988 886136    0    0     0    47 2117 5548  3  3 93  0  0 2023-12-07 21:41:33
 0  0 7999460 177988  47008 886140    0    0     0    25 2117 5583  3  3 93  1  0 2023-12-07 21:41:38
 0  0 7999460 177592  47016 886140    0    0     0    41 2100 5535  3  4 93  0  0 2023-12-07 21:41:43
 0  0 7999460 177000  47024 886140    0    0     0    13 2084 5585  3  3 94  0  0 2023-12-07 21:41:48
 0  0 7999456 176884  47032 886132    1    0     1    13 2154 5645  3  3 93  1  0 2023-12-07 21:41:53
 0  0 7999456 176752  47036 886140    0    0     0    25 2130 5599  3  3 94  0  0 2023-12-07 21:41:58
 1  0 7999456 181836  47040 881128    0    0     0     3 2115 5620  3  3 94  0  0 2023-12-07 21:42:03
 0  0 7999456 177008  47060 886152    0    0     0    30 2276 6081  3  3 93  1  0 2023-12-07 21:42:08
 0  0 7999456 175068  47068 886152    0    0     0    13 2144 5725  4  3 93  0  0 2023-12-07 21:42:13
 1  0 7999456 176352  47076 886236    0    0    10    69 2188 5784  3  3 92  1  0 2023-12-07 21:42:18
 1  0 7999456 176788  47084 886264    0    0     0     8 2114 5646  3  3 94  0  0 2023-12-07 21:42:23
 0  0 7999456 177160  47092 886236    0    0     0     4 2106 5577  3  3 93  0  0 2023-12-07 21:42:28
 0  0 7999456 176912  47096 886200    0    0     0     7 2095 5478  3  3 93  0  0 2023-12-07 21:42:33
 0  0 7999456 176880  47140 886164    0    0     0   110 2072 5452  3  4 92  1  0 2023-12-07 21:42:38
 0  0 7999456 175888  47144 886164    0    0     0     7 2097 5530  3  3 93  0  0 2023-12-07 21:42:43
 0  0 7999456 175176  47148 886264    0    0     0     7 2070 5529  3  3 93  0  0 2023-12-07 21:42:48
 0  0 7999456 175208  47152 886260    0    0     0     8 2048 5427  3  3 93  0  0 2023-12-07 21:42:53
 0  0 7999456 174928  47160 886204    0    0     0     4 2124 5649  3  3 93  0  0 2023-12-07 21:42:58
 1  0 7999456 180260  47168 881152    0    0     0     6 2116 5610  3  3 93  0  0 2023-12-07 21:43:03
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7999456 175508  47192 886208    0    0     0    42 2137 5597  3  3 92  1  0 2023-12-07 21:43:08
 0  0 7999456 175452  47200 886208    0    0     0    93 2128 5596  3  4 92  1  0 2023-12-07 21:43:13
 1  0 7999456 175016  47208 886268    0    0     0     5 2199 5812  3  3 93  0  0 2023-12-07 21:43:18
 0  0 7999456 174676  47212 886272    0    0     0     6 2057 5491  3  4 93  0  0 2023-12-07 21:43:23
 0  0 7999456 173900  47220 886208    0    0     0     4 2072 5522  3  3 93  0  0 2023-12-07 21:43:28
 1  0 7999456 174108  47228 886244    0    0     0     3 2093 5500  4  3 93  0  0 2023-12-07 21:43:33
 0  0 7999456 174172  47256 886244    0    0     0    37 2056 5454  3  3 93  1  0 2023-12-07 21:43:38
 0  0 7999456 174148  47260 886244    0    0     0    15 2170 5792  3  3 94  0  0 2023-12-07 21:43:43
 0  0 7999456 174272  47264 886308    0    0     0    38 2109 5624  3  3 94  0  0 2023-12-07 21:43:48
 0  0 7999456 174148  47268 886200    0    0     0     4 2035 5377  3  2 94  0  0 2023-12-07 21:43:53
 0  0 7999456 174232  47276 886208    0    0     0     4 2075 5503  4  3 93  0  0 2023-12-07 21:43:58
 0  0 7999456 178920  47284 881196    0    0     0     3 2093 5525  3  3 93  0  0 2023-12-07 21:44:03
 0  0 7999456 173936  47312 886356    0    0     0    31 2048 5451  3  3 93  1  0 2023-12-07 21:44:08
 0  0 7999456 173776  47312 886264    0    0     5    25 2184 5799  3  3 93  0  0 2023-12-07 21:44:13
 0  0 7999456 172272  47320 886204    0    0     0     9 2139 5693  3  3 93  0  0 2023-12-07 21:44:18
 0  0 7999456 173216  47328 886304    0    0     8     7 2106 5559  3  3 93  1  0 2023-12-07 21:44:23
 1  0 7999456 173936  47336 886340    0    0     0     7 2062 5526  3  4 93  0  0 2023-12-07 21:44:28
 0  0 7999456 173772  47340 886304    0    0     0    49 2116 5501  3  3 94  0  0 2023-12-07 21:44:33
 0  0 7999456 173644  47364 886476    0    0     0    31 2086 5512  3  3 93  1  0 2023-12-07 21:44:38
 0  0 7999456 173680  47368 886340    0    0     0    70 2129 5584  3  3 93  0  0 2023-12-07 21:44:43
 0  0 7999456 173560  47376 886364    0    0     0    27 2101 5595  3  3 93  0  0 2023-12-07 21:44:48
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7999456 172940  47384 886436    0    0     0     6 2039 5411  3  3 93  0  0 2023-12-07 21:44:53
 0  0 7999456 173096  47392 886304    0    0     0     6 2075 5469  3  4 93  0  0 2023-12-07 21:44:58
 0  0 7999456 178512  47400 881252    0    0     0     5 2078 5495  3  3 93  0  0 2023-12-07 21:45:03
 0  0 7999456 173412  47428 886296    0    0     0    30 2122 5585  3  3 93  1  0 2023-12-07 21:45:08
 2  0 7999456 173592  47432 886296    0    0     0    12 2188 5841  4  3 92  0  0 2023-12-07 21:45:13
 0  0 7999456 173408  47436 886348    0    0     0    40 2232 5901  3  3 93  0  0 2023-12-07 21:45:18
 0  0 7999456 173596  47440 886348    0    0     0    27 2066 5453  3  3 94  0  0 2023-12-07 21:45:23
 0  0 7999456 173596  47444 886312    0    0     0     6 2118 5700  3  3 93  0  0 2023-12-07 21:45:28
 1  0 7999456 173752  47444 886312    0    0     0    50 2059 5437  3  3 93  0  0 2023-12-07 21:45:33
 0  0 7999456 173660  47468 886372    0    0     0    28 2013 5358  3  3 93  1  0 2023-12-07 21:45:38
 0  0 7999456 173380  47476 886372    0    0     0    14 2160 5674  3  4 93  0  0 2023-12-07 21:45:43
 0  0 7999456 173284  47484 886340    0    0     0    64 2186 5775  3  3 93  0  0 2023-12-07 21:45:48
 1  0 7999456 173752  47492 886344    0    0     0     9 2053 5458  3  3 93  0  0 2023-12-07 21:45:53
 0  0 7999456 173556  47496 886380    0    0     0     3 2071 5479  3  3 93  0  0 2023-12-07 21:45:58
 0  0 7999456 178432  47500 881260    0    0     0     4 2067 5482  3  3 93  0  0 2023-12-07 21:46:03
 1  0 7999456 173260  47520 886420    0    0     0    29 2329 6355  4  3 92  1  0 2023-12-07 21:46:08
 0  0 7999456 173252  47524 886344    0    0     0    10 2309 6195  4  3 92  0  0 2023-12-07 21:46:13
 2  0 7999452 172660  47584 886324    1    0     1    57 2407 6398  5  3 90  2  0 2023-12-07 21:46:18
 0  0 7999452 172672  47588 886384    0    0     0     6 2308 6323  3  3 93  0  0 2023-12-07 21:46:23
 0  0 7999452 172268  47592 886364    0    0     0    29 2186 5929  3  4 93  0  0 2023-12-07 21:46:28
 2  0 7999452 172796  47600 886364    0    0     0     3 2079 5505  3  3 94  0  0 2023-12-07 21:46:33
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7999452 173664  47616 886536    0    0     0    78 2059 5428  3  3 93  1  0 2023-12-07 21:46:38
 2  0 7999452 173788  47624 886400    0    0     0    46 2087 5522  3  3 94  0  0 2023-12-07 21:46:43
 0  0 7999452 173480  47624 886400    0    0     0     6 2098 5604  3  3 94  0  0 2023-12-07 21:46:48
 0  0 7999452 173572  47632 886396    0    0     0    14 2021 5349  3  3 93  0  0 2023-12-07 21:46:53
 0  0 7999452 173628  47640 886368    0    0     0     5 2078 5548  3  3 94  0  0 2023-12-07 21:46:58
