procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 1  0 7943820 133788  37252 1034852    0    0     0    75 2069 5468  3  3 93  0  0 2023-12-07 16:48:31
 1  0 7943820 133396  37260 1035128    0    0     0     6 2139 7031  4  4 92  0  0 2023-12-07 16:48:36
 1  0 7943820 128240  37268 1039868    0    0    15     8 2039 5478  3  3 93  0  0 2023-12-07 16:48:41
 0  0 7943820 133532  37300 1034828    0    0     0    32 2057 5600  3  4 93  1  0 2023-12-07 16:48:46
 0  0 7943820 128496  37308 1040096    0    0     0   141 2104 5622  3  3 93  0  0 2023-12-07 16:48:51
 0  0 7943820 127432  37316 1040392    0    0     0     7 2024 5481  3  3 93  0  0 2023-12-07 16:48:56
 0  0 7943820 127284  37324 1040428    0    0     0     6 2086 5700  4  3 92  0  0 2023-12-07 16:49:01
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 3  0 7943820 126008  37332 1041040    0    0     0     6 2098 5832  4  3 93  0  0 2023-12-07 16:49:06
 0  0 7943820 126104  37340 1040352    0    0     0   134 2160 5786  4  3 93  0  0 2023-12-07 16:49:11
 0  0 7943820 125848  37372 1040624    0    0    13    31 2196 6125  5  3 91  1  0 2023-12-07 16:49:16
 2  0 7943820 130860  37380 1035384    0    0     0    11 2158 5795  3  4 93  0  0 2023-12-07 16:49:21
 0  0 7943820 126092  37388 1040824    0    0     0     7 2057 5563  3  3 93  0  0 2023-12-07 16:49:26
 0  0 7943820 126404  37396 1040892    0    0     0     6 2107 5752  4  3 93  0  0 2023-12-07 16:49:31
 0  0 7943820 131108  37404 1035484    0    0     0     6 2066 5509  3  3 93  0  0 2023-12-07 16:49:36
 0  0 7943820 130868  37412 1035448    0    0     0   118 2065 5536  3  3 94  0  0 2023-12-07 16:49:41
 0  0 7943820 125100  37444 1041268    0    0    14    73 2084 5605  3  3 93  1  0 2023-12-07 16:49:46
 0  0 7943820 130980  37452 1035744    0    0    11    14 2120 5673  3  3 93  1  0 2023-12-07 16:49:51
 0  0 7943820 125512  37460 1040724    0    0     0     7 2054 5549  4  3 93  0  0 2023-12-07 16:49:56
 0  0 7943820 129596  37468 1036144    0    0     0     6 2084 5639  3  3 93  0  0 2023-12-07 16:50:01
 0  0 7943820 125316  37476 1041108    0    0     0     6 2076 5625  3  4 93  0  0 2023-12-07 16:50:06
 2  0 7943820 129624  37484 1035948    0    0    62    79 2191 5880  5  3 91  1  0 2023-12-07 16:50:11
 0  0 7943820 124168  37516 1041180    0    0     0    32 2170 5836  3  3 92  1  0 2023-12-07 16:50:16
 1  0 7943820 123980  37524 1041324    0    0     0    40 2159 5870  3  4 93  0  0 2023-12-07 16:50:21
 0  0 7943820 123828  37532 1041640    0    0     0     7 2077 5617  4  3 92  1  0 2023-12-07 16:50:26
 0  0 7943820 128664  37540 1036572    0    0    43     6 2059 5540  3  3 93  1  0 2023-12-07 16:50:31
 0  0 7943820 128788  37548 1036716    0    0     0     7 2064 5604  3  3 93  0  0 2023-12-07 16:50:36
 0  0 7943820 123580  37572 1041460    0    0     0   110 2063 5540  3  3 92  2  0 2023-12-07 16:50:41
 0  0 7943820 128264  37604 1036432    0    0    14    39 2100 5636  3  3 93  1  0 2023-12-07 16:50:46
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7943820 123272  37612 1041560    0    0     0    78 2095 5599  4  3 93  0  0 2023-12-07 16:50:51
 0  0 7943820 127860  37620 1037236    0    0     0    26 2071 5521  3  3 93  0  0 2023-12-07 16:50:56
 0  0 7943820 123248  37628 1042008    0    0     0     6 2045 5558  4  3 93  0  0 2023-12-07 16:51:01
 0  0 7943820 128664  37636 1036908    0    0     0     6 2083 5598  3  3 94  0  0 2023-12-07 16:51:06
 0  0 7943820 129036  37644 1036672    0    0    14    38 2139 5804  3  4 93  0  0 2023-12-07 16:51:11
 1  0 7943820 119520  37676 1042324    1    0     3    33 2336 6088  5  3 90  1  0 2023-12-07 16:51:16
 0  0 7948012 135280  37740 1033228    1  884     1  1000 2294 5902  3  3 91  3  0 2023-12-07 16:51:21
 0  0 7948012 129360  37748 1038868    0    0     0    21 2073 5578  3  4 93  0  0 2023-12-07 16:51:26
 0  0 7948012 134720  37756 1033600    0    0     0    41 2078 5595  3  3 93  0  0 2023-12-07 16:51:31
 0  0 7948012 128612  37764 1039332    0    0    12     7 2073 5620  4  3 93  0  0 2023-12-07 16:51:36
 0  0 7948012 134324  37772 1033332    0    0     0     8 2094 5687  3  4 93  0  0 2023-12-07 16:51:41
 0  0 7948012 129016  37804 1038448    0    0     0    80 2072 5571  3  3 92  1  0 2023-12-07 16:51:46
 1  0 7948012 135836  37812 1038684    0    0    24    94 2431 5853  6  3 90  1  0 2023-12-07 16:51:51
 0  0 7948012 135588  37820 1039096    0    0     0    24 2066 5602  3  3 93  0  0 2023-12-07 16:51:56
 0  0 7948012 140044  37828 1034632    0    0     0     7 2068 5576  4  3 93  0  0 2023-12-07 16:52:01
 0  0 7948012 140516  37836 1034068    0    0     0    30 2039 5469  4  3 93  0  0 2023-12-07 16:52:06
 0  1 7948012 135836  37844 1038904    1    0    20     9 2195 6036  4  4 92  1  0 2023-12-07 16:52:11
 0  1 7948012 140760  37852 1033760    0    0     0    14 2320 6377  4  4 92  0  0 2023-12-07 16:52:16
 0  0 7948012 133608  37868 1039376    0    0     0    18 2205 5890  3  3 93  1  0 2023-12-07 16:52:21
 0  0 7948012 138384  37876 1034248    0    0    24    94 2082 5614  3  3 93  0  0 2023-12-07 16:52:26
 2  0 7948012 133656  37884 1039540    0    0    31    16 2069 5657  3  3 93  1  0 2023-12-07 16:52:31
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 IST
 0  0 7948012 137572  37892 1034480    0    0     0     8 2070 5562  3  3 93  0  0 2023-12-07 16:52:36
 0  0 7948012 137348  37908 1034276    0    0     1    91 2118 5685  3  3 93  1  0 2023-12-07 16:52:41
 0  0 7948012 132560  37916 1039680    0    0    60    14 2140 5816  3  3 93  1  0 2023-12-07 16:52:46
 0  0 7948012 130520  37948 1040224    0    0    15    34 2193 5946  3  4 93  1  0 2023-12-07 16:52:51
 0  0 7948012 133420  37956 1040352    0    0    59    82 2201 5881  4  3 92  1  0 2023-12-07 16:52:56
 0  0 7948012 138040  37964 1035512    0    0    35    26 2079 5639  3  3 93  1  0 2023-12-07 16:53:01
 0  0 7948012 137948  37972 1035280    0    0     0    14 2108 5658  3  3 93  0  0 2023-12-07 16:53:06
 0  0 7948012 137732  37980 1035156    0    0     0     9 2080 5623  3  3 93  0  0 2023-12-07 16:53:11
